Update,@default at update 141 Average Fitness,@default at update 141 Average Gestation Time,@default at update 141 Average Metabolic Rate,@default at update 141 Count of Organisms in the World
0,0,189,47,1
1,0,189,47,1
2,0,189,47,1
3,0,189,47,1
4,0,189,47,1
5,0,189,47,1
6,0.248677,189,47,2
7,0.248677,189,47,2
8,0.248677,189,47,2
9,0.248677,189,47,2
10,0.248677,189,47,2
11,0.248677,189,47,2
12,0.248677,189,47,3
13,0.248677,189,47,3
14,0.248677,189,47,3
15,0.248677,189,47,3
16,0.248677,189,47,3
17,0.248677,189,47,3
18,0.248677,189,47,4
19,0.248677,189,47,5
20,0.248677,189,47,5
21,0.248677,189,47,5
22,0.248677,189,47,5
23,0.248677,189,47,5
24,0.248677,189,47,5
25,0.248677,189,47,7
26,0.248677,189,47,9
27,0.248677,189,47,9
28,0.248677,189,47,9
29,0.248677,189,47,9
30,0.248677,189,47,9
31,0.248677,189,47,10
32,0.248843,188.875,47,16
33,0.248833,188.882,47,17
34,0.248833,188.882,47,17
35,0.248833,188.882,47,17
36,0.248833,188.882,47,17
37,0.248833,188.882,47,17
38,0.245552,187.875,46.1667,24
39,0.246442,187.9,46.3333,30
40,0.247167,187.71,46.4194,31
41,0.247117,187.667,46.4,30
42,0.247117,187.667,46.4,30
43,0.247472,187.484,46.4194,31
44,0.247578,187.618,46.4706,34
45,0.247504,187.378,46.4,45
46,0.245853,189.271,46.4583,48
47,0.245051,189,46.25,48
48,0.245235,188.918,46.2653,49
49,0.245318,188.857,46.2653,49
50,0.245606,188.745,46.2941,51
51,0.245952,188.714,46.3571,56
52,0.247096,188.406,46.5,64
53,0.245751,189.864,46.5455,66
54,0.245203,189.672,46.403,67
55,0.24546,189.536,46.4203,69
56,0.24403,191.472,46.4444,72
57,0.245224,191.295,46.641,78
58,0.245061,190.812,46.5176,85
59,0.245682,190.528,46.573,89
60,0.245928,190.544,46.6222,90
61,0.245014,191.533,46.6522,92
62,0.244579,191.968,46.6596,94
63,0.245036,191.673,46.6837,98
64,0.245624,191.167,46.6944,108
65,0.244975,191.342,46.5766,111
66,0.244223,191.795,46.4957,117
67,0.244307,191.737,46.5,118
68,0.243923,192.136,46.5085,118
69,0.243829,192.544,46.576,125
70,0.244796,192.263,46.7068,133
71,0.24554,192.043,46.8071,140
72,0.245542,191.95,46.7872,141
73,0.245092,191.681,46.6458,144
74,0.244106,192.785,46.6376,149
75,0.244646,192.316,46.6447,152
76,0.244993,192.418,46.7342,158
77,0.244776,192.88,46.7904,167
78,0.243015,194.598,46.7929,169
79,0.242439,195.244,46.7849,172
80,0.241407,195.665,46.6763,173
81,0.241493,195.322,46.6215,177
82,0.243304,193.934,46.6721,183
83,0.243897,193.518,46.6891,193
84,0.24347,193.667,46.641,195
85,0.242365,195.228,46.6853,197
86,0.240017,198.216,46.7647,204
87,0.240177,198.014,46.7512,209
88,0.24094,197.332,46.7682,220
89,0.241274,196.969,46.7665,227
90,0.241998,196.21,46.7597,233
91,0.24183,196.306,46.7489,235
92,0.241846,196.438,46.7625,240
93,0.240675,197.402,46.7052,251
94,0.240354,197.63,46.677,257
95,0.23929,199.225,46.7041,267
96,0.238698,200.225,46.7709,275
97,0.238926,199.777,46.7338,278
98,0.238504,200.299,46.7544,281
99,0.238111,200.765,46.7719,285
100,0.238021,200.72,46.7567,300
101,0.237824,201.19,46.7774,310
102,0.237964,200.633,46.7022,319
103,0.236821,201.892,46.709,323
104,0.236108,202.851,46.7234,329
105,0.235352,203.686,46.7216,334
106,0.235558,203.681,46.7573,342
107,0.235559,203.628,46.7528,352
108,0.235418,204.044,46.7945,365
109,0.235495,204.363,46.8441,372
110,0.235918,203.987,46.8617,376
111,0.235726,204.147,46.8474,380
112,0.236455,203.337,46.8407,383
113,0.236581,203.081,46.8182,396
114,0.236849,202.635,46.8074,405
115,0.236642,202.944,46.8204,412
116,0.236345,203.124,46.8091,419
117,0.235303,204.226,46.7721,430
118,0.235191,204.247,46.7483,433
119,0.235997,203.436,46.7607,443
120,0.236837,202.542,46.7665,454
121,0.236716,202.485,46.7263,464
122,0.236139,203.168,46.7437,476
123,0.236001,203.147,46.7386,482
124,0.236148,202.833,46.723,491
125,0.236371,202.778,46.7718,504
126,0.236645,202.596,46.7953,513
127,0.236907,202.235,46.7863,524
128,0.236586,202.234,46.7326,531
129,0.236606,201.6,46.6245,538
130,0.236284,201.814,46.6015,547
131,0.2355,202.746,46.6288,555
132,0.236739,201.377,46.6367,567
133,0.236898,201.362,46.6592,578
134,0.235844,202.539,46.6419,592
135,0.23581,202.434,46.616,599
136,0.236192,201.823,46.5837,603
137,0.235715,202.236,46.5672,610
138,0.235605,202.576,46.6016,625
139,0.235806,202.404,46.6179,636
140,0.236523,201.744,46.6493,653
141,0.236382,201.824,46.6212,660
